Title,Sector,Pay (LPA) ,Skills
Technical Support Associate / IT Help Desk Jobs,IT,250000,10+3 / Graduate / BE / MCA
Event Manager,Services,300000,"Event Management, Client Servicing, Planning "
"Telesales Telemarketing Telecaller","Advertising, Marketing and Sales",150000,"Telesales, Telemarketing"
Restaurant Manager,Tourism and Hospitality,400000,Bachelors in Hotel Management
Service head,Automobiles And Auto Components,300000,"Service head, Automobile, TVS, Yamaha, Honda"
Senior Analyst - Wealth Management,"Banking, Accounting & Financial Services",350000,"Advanced Excel, Finance, Investment Analysis, Risk Analytics"
Inspection Engineer / Site Engineer,Oil and Gas,300000,"CNG, PNG, City Gas Distribution, MDPE"
L1/L2/L3 ENgineer,Telecommunications,130000,"Troubleshooting, Networking, MySql, Sql queries, SIP, GSM architecture, 4G Networks and ay bachelors' degree (graduate degree)"
textile factory worker job,Textiles,120000,12th class pass
Sales / Marketing Executive,Real Estate,350000,"Real Estate Channel Sales, Sales manager"
Computer Operator,IT,280000,"Computer Operator, Computer Networking"
Warehouse Operations Manager,Services,260000,"Transportation, Inventory, Freight, Supply Chain Management, Logistics and Warehouse manager"
HR Advisor / Counsellor,"Recruitment, Staffing and HR",280000,"Counseling, Facilities Manager, HR Advisor"
Electrical Engineer,Power,400000,"Power, Energy, B.Tech in Electrical and Electronincs Engineering (EEE) or Electronics and Communications Engineering"
QA (Quality assurance)/ QC (Quality control) Engineer / Inspector,Manufacturing,200000,B.Tech in Mechanical Engineering
e-Commerce Content Manager,Ecommerce,120000,"E-commerce manager, content management"
Pre School Teacher,Education and Training,180000,"Any Graduate in any specialization, B.Ed in Education"
"Logistics Manager (FMCG)",FMCG,250000,"Inventory Control, Supply Chain, Materials and Logistics management"
Legal manager Real Estate,Real Estate,350000,"Real estate registration (RERA and MOFA), LLB. Bachelors in Law"
Full Stack Developer,IT,600000,"Web architecture, Software Programmer, HTML, CSS, JS"
Food Delivery Boys,Tourism and Hospitality,280000,Delivery Field
Anchoring,Media and Entertainment,300000,"Anchoring, PR, Advertising, Media, Entertainment, Bachelor Of Arts"
Electrician,Services,150000,"Utility Management, Lighting Management, Ht/It Electrical"
Graphic Designer,Media and Entertainment,200000,"Illustrator, Graphic Design, Adobe Photoshop, Adobe Illustrator"
Public Relations Executive,"Advertising, Marketing and Sales",300000,"Marketing, Public Relations (PR), Media"
Beautician,Services,100000,"Beauty Therapist, Skin Therapist, Facial, Spa Treatment, Beauty Advisor"
Emergency Medical Officer,Healthcare,900000,"Casualty, Handle Patients, Emergency Medical Officer, MBBS"
Database Administrator,IT,430000,"Oracle, SQL, Sql Dba, Database Administrator"
Architect,Infrastructure,400000,Must have a B.Arch or M.Arch
Research Analyst,Research in Science and Technology,180000,"Data Enhancement, analysis. Bachelors in Science or Technology (B.Sc or B.Tech)"
